,Training Source,Home Office/Metro Area,Organization Number,Organization,Capability,Function 2,Career Level,Function,Function Name,Title,Training Type,Training Provider,Training Delivery Type,Training Location,Vendor Name,Conference Name,Course or Event Name,Certification Type,Certification Name,Is there a course with this certification?,Category,Activity,Support Group,Business Justification,What % of the conference is business development?,Training Hours,Travel Required,Certification Fee,Conference Fee,Course Fee,Vendor Charge
0,TAS,Houston GS 1301 Fannin,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,6,TC,Technology Consulting,Conference  -  Technology Consulting  -  Accenture,Conference,Accenture,,"Orlando, FL",,Accenture Testing Symposium,,,,,Tech Arch,Testing,TAS TC Advanced Tech & Arch Approval Group,Current project/role,0.0,24.0,Yes,0.0,0,0.0,0
1,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.002,TDL Advanced Tech & Arch,AT&A,TDL,8,TD,Technology Delivery,Conference  -  Technology Delivery  -  Vendor,Conference,Vendor,,"Indianapolis, Indiana",Association for Computing Machinery,22nd ACM Symposium on Access Control Models and Technologies (SACMAT),,,,,Cloud,Conf - ACM Symposium on Access Control Models and Technologies (SACMAT),TAS TDL Advanced Tech & Arch Approval Group,Career growth,90.0,24.0,Yes,0.0,900,0.0,0
2,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,ACN/AFS Curriculum,AFS Cost Compliance,TAS TC Advanced Tech & Arch Approval Group,Career growth,,8.0,No,0.0,0,0.0,0
3,MyLearning,,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,,Inclusion & Diversity,Accenture,Classroom,"Dallas - Hilton Anatole, 2201 N Stemmons Fwy,  Dallas, TX 75207",,,,,,,I&D,IWD - Intl Women's Day,,,,8.0,No,0.0,0,0.0,0
4,MyLearning,,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,,Inclusion & Diversity,Accenture,Classroom,Westin Gateway Arlington,,,,,,,I&D,IWD - Intl Women's Day,,,,8.0,No,0.0,0,0.0,0
5,MyLearning,,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,3,TC,Technology Consulting,,Inclusion & Diversity,Accenture,Classroom,Westin Gateway Arlington,,,,,,,I&D,IWD - Intl Women's Day,,,,8.0,No,0.0,0,0.0,0
6,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.003,TC Analyst Apprentice,Analyst,TC,11,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Self-Study,,,New,CompTIA Security+,No,Cert exam,(SECR) Security+,TAS TC Analyst Apprentice Approval Group,Current project/role,,20.0,,311.0,0,0.0,0
7,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom - St.Charles,,,,,,,,Tech Arch,Delivery Management School,TAS TC Advanced Tech & Arch Approval Group,Current project/role,,40.0,Yes,0.0,0,0.0,0
8,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,6,TC,Technology Consulting,Certification  -  Technology Consulting  -  Accenture,Certification,Accenture,Classroom,,,,,New,ICAgile Certified Professional - Business Value Analysis (ICP-BVA),Yes,Agile,Agile Product Owner (Business Value Analysis),TAS TC Advanced Tech & Arch Approval Group,Current project/role,,16.0,No,0.0,0,0.0,0
9,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom - St.Charles,,,,,,,,Tech Arch,Advanced Tech Arch School,TAS TC Advanced Tech & Arch Approval Group,Career growth,,40.0,Yes,0.0,0,0.0,0
